Date,Price,Open,High,Low,Vol.,Change %
8/19/13,"15,010.74","15,076.79","15,106.39","15,005.42",111.66M,-0.47%
8/20/13,"15,002.99","15,011.82","15,074.92","14,992.16",102.34M,-0.05%
8/21/13,"14,897.55","14,993.81","15,019.70","14,880.84",98.34M,-0.70%
8/22/13,"14,963.74","14,908.60","14,989.12","14,899.00",153.49M,0.44%
8/23/13,"15,010.51","14,988.78","15,025.56","14,931.24",131.86M,0.31%
8/26/13,"14,946.46","15,014.58","15,049.98","14,945.24",102.82M,-0.43%
8/27/13,"14,776.13","14,939.25","14,939.25","14,765.42",118.61M,-1.14%
8/28/13,"14,824.51","14,770.99","14,867.40","14,760.41",104.62M,0.33%
8/29/13,"14,840.95","14,817.91","14,916.01","14,792.11",93.17M,0.11%
8/30/13,"14,810.31","14,844.10","14,848.24","14,762.35",135.85M,-0.21%
